"Keyword","Monthly Volume","Adwords CPC","Adwords Comp","Volume Jan","Volume Feb","Volume Mar","Volume Apr","Volume May","Volume Jun","Volume Jul","Volume Aug","Volume Sep","Volume Oct","Volume Nov","Volume Dec"
"news gothic","888","$80.00","88.00","9","4","3","7","7","7","9","5","1","8","5","3"
"news ge","888","$80.00","88.00","4","10","8","2","10","10","11","3","11","1","6","9"
"news huawei","888","$80.00","88.00","11","2","1","10","9","7","3","4","9","3","10","3"
"news helper","888","$80.00","88.00","7","4","9","11","10","3","7","2","9","7","4","11"
"news has just come in that there","888","$80.00","88.00","5","5","7","5","6","10","6","8","10","2","1","6"
"news hungary","888","$80.00","88.00","1","10","4","11","10","7","9","6","3","8","2","10"
"news hub","888","$80.00","88.00","6","3","8","11","4","1","7","10","1","11","7","10"
"news hungama","888","$80.00","88.00","11","8","11","3","9","7","8","1","1","7","2","6"
"news in levels","888","$80.00","88.00","10","9","10","2","10","4","10","10","6","2","5","9"
"news is or are","888","$80.00","88.00","6","1","9","1","2","2","7","10","5","6","1","6"
"news in english","888","$80.00","88.00","5","7","2","1","8","2","8","6","6","9","11","7"
"news is  are","888","$80.00","88.00","8","10","2","10","5","11","10","9","2","1","11","10"
"news in the world","888","$80.00","88.00","10","1","10","2","7","2","3","1","3","7","9","8"
"news italy","888","$80.00","88.00","2","6","4","7","6","10","3","1","11","5","11","4"
"news icon","888","$80.00","88.00","8","3","11","8","3","10","3","1","4","6","3","2"
"news in ukraine","888","$80.00","88.00","7","5","1","6","1","1","2","5","6","3","9","3"
"news japan","888","$80.00","88.00","10","8","11","10","6","10","5","10","11","11","10","2"
"news junkie","888","$80.00","88.00","1","4","9","2","7","9","2","1","3","6","11","3"
"news jacking","888","$80.00","88.00","9","10","4","4","6","10","2","11","8","9","5","10"
"news journalism","888","$80.00","88.00","4","9","7","4","4","8","4","4","8","11","8","4"
"news japanese band","888","$80.00","88.00","3","2","8","4","6","1","3","11","4","3","4","5"
"news january 2022","888","$80.00","88.00","5","7","2","2","6","11","1","4","7","1","4","11"
"news japan today","888","$80.00","88.00","11","5","8","10","11","6","6","2","7","5","8","3"
"news journal","888","$80.00","88.00","5","3","5","3","6","8","10","9","6","8","10","11"
"news kg","888","$80.00","88.00","6","7","10","9","2","11","11","6","2","4","1","8"
"news kiev","888","$80.00","88.00","4","8","2","3","11","6","2","7","6","6","6","8"
"news korea","888","$80.00","88.00","5","1","6","6","8","2","1","1","4","11","5","6"
"news kazakhstan","888","$80.00","88.00","10","3","10","3","8","7","9","4","11","10","9","11"
"news kyiv","888","$80.00","88.00","1","10","5","7","4","2","7","2","10","4","8","4"
"news kharkov","888","$80.00","88.00","1","4","2","9","7","8","9","1","5","9","4","8"
"news kamila valieva","888","$80.00","88.00","5","6","2","1","2","7","6","10","4","6","1","5"
"news kg instagram","888","$80.00","88.00","6","6","11","11","7","8","6","2","2","6","9","9"
"news list","888","$80.00","88.00","2","8","9","10","2","11","4","9","4","7","3","8"
"news london","888","$80.00","88.00","3","4","11","9","8","10","9","3","4","9","9","5"
"news logo","888","$80.00","88.00","9","1","2","6","2","3","1","2","11","9","6","1"
"news liga net","888","$80.00","88.00","6","2","1","4","1","5","5","2","2","8","2","1"
"news list bitrix","888","$80.00","88.00","11","9","9","1","10","8","9","8","11","10","3","6"
"news life","888","$80.00","88.00","1","9","7","10","11","8","8","5","3","9","4","8"
"news lurer","888","$80.00","88.00","8","1","5","7","4","7","11","10","1","11","7","3"
"news mail","888","$80.00","88.00","10","4","10","7","11","8","4","6","5","9","1","7"
"news mail ru","888","$80.00","88.00","7","3","7","6","10","5","9","6","5","4","8","6"
"news mma","888","$80.00","88.00","2","1","7","4","7","6","7","8","3","9","6","8"
"news media","888","$80.00","88.00","7","1","9","8","4","2","6","6","1","6","7","9"
"news music","888","$80.00","88.00","2","7","7","2","9","9","6","6","5","7","4","11"
"news meaning","888","$80.00","88.00","5","8","7","2","7","7","2","11","3","4","4","7"
"news myseldon","888","$80.00","88.00","8","3","7","9","10","2","5","10","5","1","9","7"
"news minecraft","888","$80.00","88.00","4","9","5","11","9","10","7","6","4","5","2","6"
"news news","888","$80.00","88.00","7","10","11","7","10","5","5","6","8","11","2","2"
"news news brawl","888","$80.00","88.00","6","4","6","3","5","8","7","8","9","2","5","9"
"news new york","888","$80.00","88.00","8","10","8","7","3","10","1","6","3","1","3","7"
"news now","888","$80.00","88.00","5","4","2","11","5","8","5","11","1","10","7","10"
"news new york times","888","$80.00","88.00","11","10","2","8","11","6","8","7","10","10","10","11"
"news nft","888","$80.00","88.00","5","5","8","7","2","11","2","1","1","5","4","7"
"news nato","888","$80.00","88.00","9","9","8","7","2","11","1","1","9","4","8","6"
"news nutrition","888","$80.00","88.00","2","4","5","2","5","10","10","3","2","3","9","8"
"news of the world queen","888","$80.00","88.00","2","4","8","8","10","11","6","6","8","9","4","9"
"news of ukraine","888","$80.00","88.00","6","10","1","9","4","4","6","9","10","3","9","9"
"news online","888","$80.00","88.00","1","11","11","8","11","6","6","7","7","5","3","9"
"news outlets","888","$80.00","88.00","5","11","8","7","8","5","5","2","10","1","1","1"
"news of the discovery soon","888","$80.00","88.00","8","4","8","1","1","3","8","7","3","2","3","1"
"news or the news","888","$80.00","88.00","4","11","5","6","2","2","2","8","1","10","8","2"
"news plural or singular","888","$80.00","88.00","9","7","5","7","3","8","2","4","4","6","8","9"
"news paper","888","$80.00","88.00","11","8","6","9","9","5","3","6","10","4","8","5"
"news poland","888","$80.00","88.00","9","9","3","9","7","7","5","4","1","9","9","3"
"news profit","888","$80.00","88.00","8","8","9","7","5","3","6","10","4","11","2","10"
"news png","888","$80.00","88.00","4","11","11","10","10","3","7","4","1","11","2","5"
"news portal","888","$80.00","88.00","7","7","3","7","10","1","11","4","11","10","10","2"
"news putin","888","$80.00","88.00","1","6","7","5","11","9","10","9","3","7","7","9"
"news politics","888","$80.00","88.00","8","6","5","9","9","11","2","2","6","9","1","8"
"news qq","888","$80.00","88.00","5","11","10","6","1","11","7","4","5","3","6","5"
"news quebec","888","$80.00","88.00","7","3","11","4","11","8","5","7","3","1","9","4"
"news queen","888","$80.00","88.00","1","11","3","2","2","6","10","2","9","9","5","11"
"news quotes","888","$80.00","88.00","3","9","8","9","3","9","3","9","8","4","4","2"
"news qatar","888","$80.00","88.00","6","11","7","8","10","4","9","6","5","1","8","4"
"news questions","888","$80.00","88.00","3","5","6","2","6","11","1","11","4","2","1","8"
"news quiz","888","$80.00","88.00","11","11","1","4","5","1","8","3","1","3","6","1"
"news questions for discussion","888","$80.00","88.00","10","10","9","11","6","11","4","7","1","10","1","2"
"news russia","888","$80.00","88.00","6","1","5","8","1","7","11","10","7","4","4","5"
"news russia ukraine","888","$80.00","88.00","4","6","5","4","10","7","5","5","10","11","9","11"
"news royale","888","$80.00","88.00","11","3","11","11","1","8","1","4","8","5","2","9"
"news rambler","888","$80.00","88.00","5","9","3","5","1","1","10","3","5","11","7","1"
"news republic","888","$80.00","88.00","5","1","2","10","9","4","1","10","2","10","7","11"
"news report","888","$80.00","88.00","4","9","9","10","1","9","10","6","5","2","8","5"
"news standoff","888","$80.00","88.00","5","4","10","7","7","10","7","11","7","1","10","7"
"news singular or plural","888","$80.00","88.00","1","3","6","7","5","6","11","6","11","1","9","9"
"news synonym","888","$80.00","88.00","2","11","2","4","7","10","5","11","11","5","7","6"
"news spain","888","$80.00","88.00","11","9","7","10","10","6","8","5","8","11","8","3"
"news sport","888","$80.00","88.00","7","6","2","9","7","2","5","6","7","4","4","1"
"news stars","888","$80.00","88.00","2","5","1","4","6","9","2","4","5","6","8","10"
"news serbia","888","$80.00","88.00","9","10","10","1","6","8","8","2","7","4","8","3"
"news time","888","$80.00","88.00","3","7","1","9","3","2","9","8","7","7","8","8"
"news telegram","888","$80.00","88.00","1","1","5","7","8","3","10","7","5","1","4","4"
"news tj","888","$80.00","88.00","3","9","10","8","8","3","9","10","2","7","4","1"
"news taiwan","888","$80.00","88.00","8","4","9","3","11","9","1","8","9","4","1","8"
"news turkey","888","$80.00","88.00","9","2","10","7","1","3","5","2","2","3","11","3"
"news today in the world","888","$80.00","88.00","10","4","2","4","7","2","10","10","4","7","11","2"
"news telegram channel","888","$80.00","88.00","9","3","2","1","2","3","9","11","7","2","4","4"
"news ukraine","888","$80.00","88.00","5","6","4","2","6","4","10","3","2","11","4","11"
"news usa","888","$80.00","88.00","4","8","4","5","3","5","5","4","2","7","8","9"
"news ua","888","$80.00","88.00","11","4","2","10","1","8","6","7","5","9","11","1"
"news ukraine russia","888","$80.00","88.00","2","7","10","3","11","1","9","9","3","2","7","11"
"news usa today","888","$80.00","88.00","6","3","1","8","3","6","8","1","2","9","7","11"
"news usa russia","888","$80.00","88.00","4","6","7","10","8","6","2","1","9","1","6","5"
"news us","888","$80.00","88.00","8","6","2","6","7","10","4","4","4","8","3","1"
"news vocabulary","888","$80.00","88.00","8","8","6","5","7","11","5","3","6","6","1","10"
"news video","888","$80.00","88.00","6","6","3","3","11","1","6","1","9","10","7","6"
"news vl","888","$80.00","88.00","9","9","7","2","6","3","5","8","7","7","5","9"
"news venezuela","888","$80.00","88.00","8","7","10","3","3","7","3","4","10","4","1","1"
"news values","888","$80.00","88.00","6","6","9","3","8","6","5","3","2","2","2","3"
"news vk","888","$80.00","88.00","3","6","3","11","10","7","5","10","8","7","9","4"
"news virgin galactic","888","$80.00","88.00","9","9","6","8","8","9","6","8","7","11","4","9"
"news vtomske","888","$80.00","88.00","1","1","10","5","11","9","5","7","8","5","5","4"
"news world","888","$80.00","88.00","6","1","8","5","9","7","5","8","4","3","8","6"
"news world politics","888","$80.00","88.00","1","6","10","8","5","6","1","9","2","3","5","8"
"news week","888","$80.00","88.00","7","7","5","4","2","7","9","6","7","5","6","9"
"news watch 9","888","$80.00","88.00","3","7","9","7","6","8","1","7","4","8","10","6"
"news war","888","$80.00","88.00","2","4","10","10","4","4","2","6","3","4","1","1"
"news was or were","888","$80.00","88.00","9","4","10","9","6","10","6","8","2","8","2","4"
"news washington","888","$80.00","88.00","3","9","1","9","5","8","4","9","7","6","7","1"
"news without politics","888","$80.00","88.00","10","4","10","6","4","3","9","4","9","3","6","9"
"news xbox","888","$80.00","88.00","5","6","5","9","9","9","10","9","8","5","7","10"
"news xlm","888","$80.00","88.00","7","9","11","6","5","11","9","9","5","7","9","11"
"news xrp","888","$80.00","88.00","3","5","7","11","10","4","5","11","3","10","3","11"
"news x paper","888","$80.00","88.00","4","2","6","5","8","8","1","11","5","11","7","4"
"news","888","$80.00","88.00","7","2","8","10","4","9","3","2","1","3","11","2"
"news xbox ru","888","$80.00","88.00","8","4","10","11","3","10","4","5","5","4","11","2"
"news xeber","888","$80.00","88.00","5","2","7","1","1","11","10","1","10","1","7","3"
"news xml","888","$80.00","88.00","4","6","7","10","1","3","8","6","6","2","9","11"
"news yandex","888","$80.00","88.00","9","2","7","4","7","8","6","2","9","10","7","10"
"news ykt","888","$80.00","88.00","10","10","5","9","9","8","9","10","9","9","4","3"
"news youtube","888","$80.00","88.00","6","11","2","1","7","3","2","2","5","7","3","5"
"news ycombinator","888","$80.00","88.00","5","10","7","8","2","1","7","7","9","2","3","1"
"news yahoo","888","$80.00","88.00","4","6","9","4","7","8","8","10","10","1","2","7"
"news york times","888","$80.00","88.00","2","6","11","3","2","1","5","2","1","2","10","2"
"news yam","888","$80.00","88.00","3","2","6","11","8","6","9","3","7","2","4","4"
"news ykt twitter","888","$80.00","88.00","7","7","9","8","7","6","8","3","5","6","10","5"
"news zelensky","888","$80.00","88.00","8","2","1","1","1","8","8","2","9","10","10","5"
"news zerkalo io","888","$80.00","88.00","3","8","3","11","8","2","5","4","9","11","6","2"
"news zagreb","888","$80.00","88.00","2","11","8","4","3","5","3","6","7","9","8","6"
"news zp","888","$80.00","88.00","9","2","5","9","1","3","6","2","6","5","5","8"
"news zaporozhye","888","$80.00","88.00","9","1","10","11","5","4","3","9","1","8","4","7"
"news zibori","888","$80.00","88.00","6","7","9","7","6","1","5","10","5","6","11","2"
"news zero","888","$80.00","88.00","3","10","7","7","3","5","4","10","4","11","1","7"
"news zurich","888","$80.00","88.00","2","4","3","10","9","2","2","8","6","5","7","4"
"news 03 april 2022","888","$80.00","88.00","10","2","8","3","6","8","5","11","8","9","4","2"
"news 05 biz","888","$80.00","88.00","3","4","10","11","9","4","8","7","4","1","2","3"
"news 09","888","$80.00","88.00","11","5","9","4","9","7","11","4","11","1","10","8"
"news 08","888","$80.00","88.00","11","1","5","11","10","8","7","4","11","2","2","4"
"news 013","888","$80.00","88.00","3","7","10","2","9","11","10","5","8","9","11","10"
"news 02 london","888","$80.00","88.00","8","3","2","4","2","8","10","2","9","1","2","6"
"news 01 hong kong","888","$80.00","88.00","8","6","10","2","10","11","4","4","10","11","11","1"
"news 007","888","$80.00","88.00","7","9","1","11","1","9","5","3","2","4","1","11"
"news 1l","888","$80.00","88.00","6","10","3","3","9","1","6","1","2","5","3","8"
"news 18","888","$80.00","88.00","3","10","10","8","11","1","6","9","5","8","3","2"
"news 12 new york","888","$80.00","88.00","1","8","4","2","9","1","11","6","8","10","9","11"
"news 1777 ru","888","$80.00","88.00","9","2","11","3","4","6","6","1","6","9","10","6"
"news 12","888","$80.00","88.00","3","5","2","3","1","7","10","11","4","5","6","3"
"news 12 brooklyn","888","$80.00","88.00","2","2","9","9","8","8","10","10","5","7","7","4"
"news 1 ru","888","$80.00","88.00","1","7","7","6","7","1","9","3","7","8","6","9"
"news 1i","888","$80.00","88.00","9","9","1","11","2","11","1","8","2","6","2","1"
"news 2022","888","$80.00","88.00","1","1","5","7","9","8","1","7","1","11","8","5"
"news 2ch","888","$80.00","88.00","4","9","7","1","3","2","8","9","9","2","2","6"
"news 29","888","$80.00","88.00","6","2","5","5","3","10","1","8","2","1","4","7"
"news 2022 today","888","$80.00","88.00","6","11","9","5","2","6","2","2","9","1","3","7"
"news 2","888","$80.00","88.00","7","4","2","11","3","9","9","11","11","3","9","6"
"news 360","888","$80.00","88.00","7","3","8","2","7","4","1","10","7","3","9","10"
"news 3","888","$80.00","88.00","10","5","2","6","2","1","4","1","1","2","6","6"
"news 3d","888","$80.00","88.00","8","9","1","5","7","11","1","11","11","5","7","11"
"news 33733","888","$80.00","88.00","11","8","6","4","7","11","2","4","4","3","7","9"
"news 39","888","$80.00","88.00","3","8","3","6","6","5","6","11","10","4","5","1"
"news 3d model","888","$80.00","88.00","9","7","7","2","10","10","5","7","4","11","11","6"
"news 33733 tiktok","888","$80.00","88.00","2","9","6","5","9","11","11","1","10","9","10","1"
"news 3d printing","888","$80.00","88.00","8","4","8","7","10","2","5","5","3","1","5","10"
"news 47","888","$80.00","88.00","8","6","2","7","3","3","7","4","2","2","7","9"
"news 46","888","$80.00","88.00","9","10","4","9","1","3","4","7","9","11","5","10"
"news 40","888","$80.00","88.00","6","7","3","6","3","5","4","3","9","7","4","3"
"news 4 channel","888","$80.00","88.00","1","1","8","11","8","8","6","10","2","7","8","8"
"news 4 nashville","888","$80.00","88.00","10","5","7","2","5","8","7","9","8","2","10","6"
"news 4u","888","$80.00","88.00","2","2","7","8","7","5","7","7","4","1","3","7"
"news 42","888","$80.00","88.00","2","11","10","8","6","6","4","11","11","9","11","8"
"news 40 sacramento","888","$80.00","88.00","8","10","1","11","5","9","3","9","4","1","3","6"
"news 5tv","888","$80.00","88.00","4","5","1","3","4","4","2","2","2","11","6","7"
"news 59","888","$80.00","88.00","7","8","5","1","7","9","3","6","3","9","2","6"
"news 57","888","$80.00","88.00","9","2","6","9","9","3","4","2","11","4","10","3"
"news 5 freeway","888","$80.00","88.00","11","10","7","4","7","4","5","3","10","8","11","6"
"news 53","888","$80.00","88.00","8","6","8","8","2","2","11","9","5","11","10","2"
"news 5 boston","888","$80.00","88.00","4","10","8","5","5","7","6","2","5","4","4","1"
"news 5 cleveland","888","$80.00","88.00","8","2","8","4","5","5","4","10","6","11","11","8"
"news 5 okc","888","$80.00","88.00","1","1","2","9","9","6","8","10","5","3","4","11"
"news 69","888","$80.00","88.00","6","7","9","5","2","9","6","2","7","11","11","5"
"news 6ix9ine","888","$80.00","88.00","1","8","8","10","2","9","9","5","11","1","2","9"
"news 6 languages","888","$80.00","88.00","3","8","9","4","4","3","11","2","5","1","9","5"
"news 6th feb 2022","888","$80.00","88.00","6","6","7","11","7","9","7","6","10","5","4","7"
"news 6 february","888","$80.00","88.00","9","7","6","10","3","2","3","7","7","9","4","5"
"news 6 march 2022","888","$80.00","88.00","4","11","3","10","10","11","3","2","2","5","1","7"
"news 66","888","$80.00","88.00","3","7","5","3","6","4","8","4","5","7","8","9"
"news 680","888","$80.00","88.00","4","11","2","9","10","6","9","11","10","7","6","5"
"news 78","888","$80.00","88.00","9","9","4","3","6","9","1","1","4","11","2","3"
"news 701 bt font","888","$80.00","88.00","2","8","9","8","3","3","11","6","9","2","7","3"
"news 702 std bold","888","$80.00","88.00","11","4","1","3","6","6","7","2","1","1","10","8"
"news 706","888","$80.00","88.00","10","5","8","11","4","10","1","7","11","8","10","10"
"news 705","888","$80.00","88.00","7","3","6","9","5","4","6","10","9","5","2","2"
"news 702 std bold italic","888","$80.00","88.00","5","4","9","6","10","1","4","11","9","5","9","8"
"news 7 in tamil","888","$80.00","88.00","10","6","4","3","5","6","7","2","7","3","4","8"
"news 701 std roman","888","$80.00","88.00","9","3","5","5","2","10","5","5","10","2","3","1"
"news 86","888","$80.00","88.00","10","8","11","4","1","10","11","8","4","4","1","8"
"news 8 now","888","$80.00","88.00","2","8","9","6","11","2","10","1","11","7","1","9"
"news 8 march","888","$80.00","88.00","5","9","11","9","8","1","4","3","8","9","2","1"
"news 8 channel","888","$80.00","88.00","7","1","2","6","7","8","10","3","8","5","10","3"
"news 8 ct","888","$80.00","88.00","9","6","11","2","2","7","3","7","1","7","7","7"
"news 89.4 online radio","888","$80.00","88.00","7","1","9","7","3","4","2","6","6","8","8","10"
"news 8n english","888","$80.00","88.00","2","2","4","7","9","5","10","1","6","1","8","3"
"news 880 radio","888","$80.00","88.00","1","7","5","7","10","5","8","6","10","4","5","2"
"news 93","888","$80.00","88.00","10","4","3","10","6","10","8","11","7","3","5","10"
"news 9 norman","888","$80.00","88.00","1","11","7","4","8","4","6","3","10","5","6","7"
"news 91.9 moncton","888","$80.00","88.00","1","8","6","3","3","10","7","2","3","9","1","2"
"news 95.7 gas prices","888","$80.00","88.00","7","2","8","4","9","8","10","10","4","9","8","11"
"news 957 halifax","888","$80.00","88.00","4","3","3","10","2","5","7","3","9","10","1","8"
"news about russia and ukraine","888","$80.00","88.00","11","10","9","7","7","4","9","5","9","4","7","9"
"news about animals","888","$80.00","88.00","9","1","4","3","2","7","8","10","8","6","4","8"
"news about ukraine today","888","$80.00","88.00","6","3","6","6","11","1","8","3","2","7","9","3"
"news about celebrities","888","$80.00","88.00","3","4","11","9","8","4","11","3","3","10","10","10"
"news about art","888","$80.00","88.00","11","4","8","3","10","4","6","11","2","4","7","2"
"news about space","888","$80.00","88.00","6","10","1","7","8","7","3","1","2","6","3","10"
"news after effects template","888","$80.00","88.00","4","5","4","3","6","1","8","6","3","6","8","5"
"news after effects template free download","888","$80.00","88.00","3","7","3","8","3","4","1","8","11","10","2","4"
"news afterpay","888","$80.00","88.00","3","3","11","5","5","2","8","10","6","9","10","8"
"news after effects","888","$80.00","88.00","5","6","8","11","8","1","4","9","6","4","8","9"
"news after effects project free download","888","$80.00","88.00","2","3","3","1","7","10","7","1","6","7","6","11"
"news aftermarket","888","$80.00","88.00","6","1","2","3","6","9","9","3","4","7","10","6"
"news after hours","888","$80.00","88.00","7","10","3","8","6","5","3","6","4","1","11","9"
"aftershock news","888","$80.00","88.00","11","10","2","10","5","5","1","1","9","10","8","7"
"news against russia","888","$80.00","88.00","2","1","5","1","2","7","8","7","7","11","4","3"
"news against covid vaccine","888","$80.00","88.00","7","2","11","9","3","1","1","8","9","2","2","2"
"news against bjp","888","$80.00","88.00","8","3","10","11","10","10","10","3","6","6","6","10"
"news against china","888","$80.00","88.00","4","6","5","10","4","5","6","7","3","10","3","10"
"news against bjp in hindi","888","$80.00","88.00","11","2","7","10","4","8","1","10","11","4","11","10"
"news against congress","888","$80.00","88.00","11","11","7","3","11","1","2","9","7","8","6","11"
"news against lockdown","888","$80.00","88.00","5","1","6","1","10","7","5","9","5","2","10","9"
"news against cryptocurrency","888","$80.00","88.00","2","7","5","9","1","6","9","9","7","6","2","1"
"news among us","888","$80.00","88.00","1","1","1","8","11","3","2","10","1","8","3","2"
"news among youth","888","$80.00","88.00","5","9","9","1","11","10","8","10","2","10","9","4"
"among us news","888","$80.00","88.00","10","7","3","8","2","10","7","1","7","3","4","10"
"cbc news among us","888","$80.00","88.00","10","2","11","10","5","1","4","7","5","7","2","8"
"steam news among us","888","$80.00","88.00","7","1","7","8","1","7","10","6","4","7","3","9"
"latest news among us","888","$80.00","88.00","8","4","4","9","3","1","8","3","1","8","10","7"
"el sirkael among news","888","$80.00","88.00","1","11","6","11","9","3","6","2","2","4","8","6"
"news and levels","888","$80.00","88.00","8","6","1","7","7","4","8","10","5","1","1","5"
"news and interests windows 10","888","$80.00","88.00","8","11","8","7","2","2","1","5","10","3","5","1"
"news and documentary emmy awards","888","$80.00","88.00","8","5","4","7","6","3","11","2","7","11","2","2"
"news and views","888","$80.00","88.00","5","10","8","11","1","11","11","8","8","3","6","9"
"news and views answer key","888","$80.00","88.00","5","2","11","6","10","10","1","4","1","11","1","1"
"news and interests","888","$80.00","88.00","4","3","8","4","6","7","9","1","2","4","1","8"
"news and events","888","$80.00","88.00","11","4","1","6","3","4","11","4","10","3","10","9"
"news and articles","888","$80.00","88.00","5","3","4","2","6","4","9","8","8","7","1","10"
"news are  is","888","$80.00","88.00","11","3","10","5","6","1","4","9","11","8","7","2"
"news are is","888","$80.00","88.00","9","5","11","1","6","11","9","11","7","6","5","5"
"news are good","888","$80.00","88.00","6","10","1","6","10","10","6","5","10","10","7","5"
"news are coming","888","$80.00","88.00","1","2","9","6","3","7","6","1","5","6","7","9"
"news are countable or uncountable","888","$80.00","88.00","4","11","11","11","4","11","7","8","6","10","4","5"
"news are plural or singular","888","$80.00","88.00","1","1","10","6","9","3","11","11","11","11","3","2"
"news are very disturbing","888","$80.00","88.00","11","9","9","11","11","6","4","11","5","2","11","10"
"news around the world","888","$80.00","88.00","5","2","10","2","5","3","3","9","1","11","6","5"
"news around ukraine","888","$80.00","88.00","7","1","4","10","1","3","9","6","6","7","1","4"
"news around the world today","888","$80.00","88.00","6","3","6","10","9","5","8","9","11","7","11","6"
"news around me","888","$80.00","88.00","3","8","9","8","3","4","2","5","4","1","3","4"
"news around the world movie","888","$80.00","88.00","10","5","5","8","2","2","3","8","1","1","7","4"
"news around the world 2021","888","$80.00","88.00","3","5","1","4","7","2","11","5","4","11","3","1"
