"Keyword","Monthly Volume","Adwords CPC","Adwords Comp","Volume Jan","Volume Feb","Volume Mar","Volume Apr","Volume May","Volume Jun","Volume Jul","Volume Aug","Volume Sep","Volume Oct","Volume Nov","Volume Dec"
"sport dar","888","$80.00","88.00","5","2","4","8","3","9","1","6","4","11","3","8"
"sport depo","888","$80.00","88.00","5","5","3","4","10","1","2","7","9","7","6","7"
"sport dealer","888","$80.00","88.00","4","11","5","3","11","7","9","1","5","5","3","8"
"sport direct","888","$80.00","88.00","8","11","2","6","9","3","3","4","6","7","3","8"
"sport definition","888","$80.00","88.00","4","10","5","7","9","6","2","3","3","9","10","11"
"sport dots","888","$80.00","88.00","4","8","10","5","2","6","8","10","11","8","9","11"
"sport dance","888","$80.00","88.00","11","8","3","11","11","2","6","3","8","10","2","8"
"sport discount russia","888","$80.00","88.00","2","5","10","7","8","3","8","6","6","4","6","11"
"sport express","888","$80.00","88.00","6","3","2","1","3","10","9","6","8","8","11","7"
"sport elite","888","$80.00","88.00","2","2","9","4","5","9","7","1","1","5","6","5"
"sport equipment","888","$80.00","88.00","6","4","4","1","6","6","7","10","10","10","5","11"
"sport expert","888","$80.00","88.00","11","5","7","5","7","11","9","2","11","9","11","7"
"sport events","888","$80.00","88.00","9","6","2","1","2","10","1","6","11","6","2","2"
"sport extreme","888","$80.00","88.00","10","6","4","4","7","8","9","4","11","4","7","4"
"sport elite se602","888","$80.00","88.00","3","11","4","10","2","10","11","2","9","11","8","9"
"sport expert bcaa","888","$80.00","88.00","3","6","11","5","7","3","4","8","7","5","11","10"
"sport facilities","888","$80.00","88.00","3","9","9","5","9","9","11","6","11","9","4","2"
"sport facilities at school","888","$80.00","88.00","10","6","8","11","4","7","5","6","8","7","6","4"
"sport forum live","888","$80.00","88.00","4","5","6","6","6","6","9","5","10","4","8","6"
"sport facilities examples","888","$80.00","88.00","11","9","1","4","10","10","4","4","3","10","2","9"
"sport food","888","$80.00","88.00","5","10","11","9","6","2","11","1","10","11","5","10"
"sport fonts","888","$80.00","88.00","7","1","3","11","1","1","4","10","1","11","8","9"
"sport fashion","888","$80.00","88.00","8","11","10","2","2","5","5","6","7","6","2","4"
"sport gloves","888","$80.00","88.00","2","11","4","5","11","6","4","1","2","11","2","5"
"sport girl","888","$80.00","88.00","8","3","10","11","8","10","5","9","6","8","4","3"
"sport games","888","$80.00","88.00","5","1","10","3","8","6","7","11","11","8","10","1"
"sport ground","888","$80.00","88.00","2","9","1","6","6","8","5","2","7","3","11","4"
"sport gear","888","$80.00","88.00","5","10","4","11","2","3","1","1","9","6","6","11"
"sport gloves amphibious","888","$80.00","88.00","1","9","2","5","6","8","2","8","1","6","7","6"
"sport glide","888","$80.00","88.00","9","9","11","11","5","9","10","5","9","4","6","10"
"sport health manual","888","$80.00","88.00","7","6","6","2","9","6","7","6","9","7","10","8"
"sport house","888","$80.00","88.00","6","2","2","1","10","8","5","5","4","7","9","10"
"sport hotel","888","$80.00","88.00","3","1","3","6","11","9","3","9","3","5","5","6"
"sport hunter","888","$80.00","88.00","11","3","3","8","7","4","3","11","7","11","9","11"
"sport headset","888","$80.00","88.00","11","1","2","5","9","6","3","11","11","4","2","3"
"sport hall","888","$80.00","88.00","10","5","6","9","9","6","1","8","11","9","3","2"
"sport hub","888","$80.00","88.00","3","3","2","8","6","1","3","7","2","6","2","5"
"sport in great britain","888","$80.00","88.00","2","10","8","7","4","10","6","1","5","7","3","6"
"sport in our life","888","$80.00","88.00","7","7","10","8","2","9","6","4","6","4","11","9"
"sport inn hotel & wellness","888","$80.00","88.00","9","9","9","11","11","11","1","11","5","7","5","3"
"sport in my life","888","$80.00","88.00","9","8","10","2","5","10","6","4","8","3","3","2"
"sport insure","888","$80.00","88.00","10","1","4","7","1","5","9","2","11","7","5","10"
"sport images","888","$80.00","88.00","10","5","11","10","6","8","10","5","2","11","6","7"
"sport jacket","888","$80.00","88.00","11","3","11","8","6","7","5","6","5","10","9","10"
"sport jn","888","$80.00","88.00","10","6","2","11","3","8","3","10","10","6","7","11"
"sport jet 70","888","$80.00","88.00","3","8","4","11","9","1","11","8","10","11","3","5"
"sport jobs","888","$80.00","88.00","3","3","4","6","2","10","8","3","1","7","4","9"
"sport jihozlari","888","$80.00","88.00","7","6","9","10","2","6","4","11","1","9","3","10"
"sport jurnalistikasi","888","$80.00","88.00","3","6","8","8","10","5","5","9","1","4","6","4"
"sport jihozlari rasmi","888","$80.00","88.00","5","6","7","3","6","1","1","2","9","5","8","8"
"sport journalism","888","$80.00","88.00","8","6","7","7","1","7","5","1","1","3","10","10"
"sport klub","888","$80.00","88.00","3","8","5","9","7","9","7","1","3","3","9","8"
"sport kz","888","$80.00","88.00","2","3","5","3","1","1","2","9","2","2","11","2"
"sport kanal uz","888","$80.00","88.00","6","8","10","11","3","1","2","8","6","4","7","6"
"sport kinds","888","$80.00","88.00","7","7","9","8","10","6","10","10","10","10","2","8"
"sport kb","888","$80.00","88.00","9","2","4","1","3","9","2","11","6","9","10","10"
"sport kp","888","$80.00","88.00","3","3","4","9","9","2","6","2","10","4","8","11"
"sport klub 2","888","$80.00","88.00","11","1","4","6","4","9","4","11","1","10","4","2"
"sport life","888","$80.00","88.00","8","4","4","1","6","1","5","8","3","10","11","3"
"sport line","888","$80.00","88.00","9","11","10","5","3","10","1","11","10","6","10","8"
"sport logo","888","$80.00","88.00","7","3","1","10","2","8","7","1","3","9","5","10"
"sport live stream","888","$80.00","88.00","3","1","8","9","10","2","9","7","11","6","10","5"
"sport level","888","$80.00","88.00","7","6","2","6","7","3","2","2","3","8","2","2"
"sport marafon","888","$80.00","88.00","9","8","8","1","7","4","9","10","11","4","4","9"
"sport master","888","$80.00","88.00","5","4","2","4","6","9","2","3","2","10","1","1"
"sport machen","888","$80.00","88.00","10","2","7","10","4","7","4","10","2","6","1","4"
"sport market","888","$80.00","88.00","9","10","10","11","7","1","1","1","2","2","2","10"
"sport motivation","888","$80.00","88.00","2","11","6","7","3","3","9","9","1","11","3","6"
"sport mix","888","$80.00","88.00","6","9","5","10","3","2","5","6","6","1","2","11"
"sport moda","888","$80.00","88.00","3","1","1","4","2","7","6","5","11","5","2","2"
"sport music","888","$80.00","88.00","10","11","1","10","1","7","7","6","8","10","9","9"
"sport news","888","$80.00","88.00","6","9","7","2","6","8","11","1","1","9","4","6"
"sport nutrition","888","$80.00","88.00","9","1","3","10","5","5","9","1","9","2","1","2"
"sport nordic","888","$80.00","88.00","4","10","10","1","8","10","7","5","7","9","7","9"
"sport nutrition academy","888","$80.00","88.00","9","11","6","9","7","11","8","1","3","7","4","5"
"sport net","888","$80.00","88.00","2","10","9","7","11","4","4","2","1","8","9","2"
"sport nation","888","$80.00","88.00","9","5","9","2","11","10","11","7","7","10","6","10"
"sport news am","888","$80.00","88.00","6","11","1","10","10","6","11","4","5","2","3","11"
"sport or sports","888","$80.00","88.00","7","2","1","1","4","9","6","10","6","7","10","11"
"sport online","888","$80.00","88.00","7","10","1","3","7","7","5","1","4","5","10","11"
"sport opportune","888","$80.00","88.00","9","4","7","6","8","7","4","5","11","1","7","5"
"sport orienteering","888","$80.00","88.00","2","1","6","6","9","5","9","9","4","7","5","4"
"sport point","888","$80.00","88.00","2","1","2","2","10","3","4","2","8","2","7","11"
"sport photo","888","$80.00","88.00","1","9","1","8","1","10","3","4","9","3","6","10"
"sport prikid","888","$80.00","88.00","7","11","3","5","5","2","11","6","1","10","9","9"
"sport plus","888","$80.00","88.00","7","8","7","1","11","2","4","8","4","7","1","2"
"sport priority","888","$80.00","88.00","1","4","7","8","10","5","11","8","6","2","5","7"
"sport professional","888","$80.00","88.00","8","8","10","1","5","6","2","11","6","4","3","6"
"sport pit","888","$80.00","88.00","7","1","6","8","1","5","11","5","2","1","2","10"
"sport questions","888","$80.00","88.00","7","4","4","9","11","8","9","10","2","3","1","8"
"sport quiz","888","$80.00","88.00","7","7","5","3","10","8","4","4","6","8","8","6"
"sport questions for discussion","888","$80.00","88.00","6","6","8","2","6","3","1","10","5","4","10","9"
"sport quotes","888","$80.00","88.00","2","7","6","6","5","6","10","1","10","7","11","9"
"sport quiz for school","888","$80.00","88.00","10","1","10","9","9","3","10","1","8","3","4","3"
"sport qory","888","$80.00","88.00","6","7","11","9","11","6","8","2","4","6","10","4"
"sport qoshiqlari","888","$80.00","88.00","9","1","1","7","4","1","11","9","5","2","8","4"
"sport qirolichasi","888","$80.00","88.00","8","1","6","6","1","11","3","10","6","8","10","7"
"sport ru","888","$80.00","88.00","9","9","7","5","7","8","7","1","8","1","8","9"
"sport research omega 3","888","$80.00","88.00","5","11","8","8","2","7","5","3","10","3","10","5"
"sport research","888","$80.00","88.00","6","10","5","2","4","3","11","8","5","11","7","3"
"sport rich","888","$80.00","88.00","3","10","11","10","8","10","5","11","10","11","4","5"
"sport retail group pte","888","$80.00","88.00","8","7","10","3","6","10","11","4","6","11","10","7"
"sport robotics","888","$80.00","88.00","10","4","1","8","5","2","3","4","5","8","6","11"
"sport resort","888","$80.00","88.00","3","6","2","6","5","1","11","1","9","3","5","3"
"sport research d3","888","$80.00","88.00","11","11","7","7","3","11","1","11","9","6","7","7"
"sport style","888","$80.00","88.00","4","1","3","8","1","7","11","3","7","7","9","3"
"sport shop","888","$80.00","88.00","4","7","10","11","4","6","9","7","2","9","10","5"
"sport suit","888","$80.00","88.00","10","10","3","3","1","11","5","8","10","10","5","5"
"sport sports","888","$80.00","88.00","11","5","4","2","4","5","3","9","5","10","10","1"
"sport smart watch","888","$80.00","88.00","9","6","11","8","11","11","10","8","7","6","11","10"
"sport shoes","888","$80.00","88.00","2","6","4","4","1","3","1","2","8","6","8","1"
"sport synonym","888","$80.00","88.00","3","3","1","7","9","11","11","11","11","7","11","5"
"sport season","888","$80.00","88.00","5","11","11","9","3","3","2","5","9","9","3","5"
"sport town","888","$80.00","88.00","8","10","7","2","8","11","2","6","10","4","4","6"
"sport tv","888","$80.00","88.00","10","10","6","2","2","6","3","6","11","9","5","3"
"sport topic","888","$80.00","88.00","1","3","2","4","10","2","1","10","9","2","11","3"
"sport tech product x7","888","$80.00","88.00","6","11","6","7","1","9","2","8","11","7","7","3"
"sport tv 1","888","$80.00","88.00","1","11","7","5","2","1","1","9","9","2","9","8"
"sport technology nutrition","888","$80.00","88.00","5","7","8","9","3","2","2","4","2","3","4","7"
"sport.ua","888","$80.00","88.00","7","2","2","4","2","4","4","9","2","1","4","6"
"sport uz","888","$80.00","88.00","6","9","9","10","6","3","5","1","6","8","8","7"
"sport utility vehicle","888","$80.00","88.00","4","11","4","10","2","6","7","6","6","11","6","3"
"sport univer","888","$80.00","88.00","7","4","10","4","2","6","10","1","11","2","2","10"
"sport universe","888","$80.00","88.00","6","3","3","3","8","6","10","4","10","1","9","1"
"sport uzbekistan","888","$80.00","88.00","11","4","3","7","5","5","1","9","8","5","10","1"
"sport usa","888","$80.00","88.00","3","5","11","4","6","3","11","4","6","5","4","11"
"sport vocabulary","888","$80.00","88.00","4","8","3","11","2","1","4","2","10","9","9","7"
"sport vision","888","$80.00","88.00","2","11","3","8","10","8","2","11","8","5","11","6"
"sport vs sports","888","$80.00","88.00","6","8","6","6","11","1","2","3","6","5","3","3"
"sport vocabulary ielts","888","$80.00","88.00","2","11","8","8","10","9","1","1","8","10","8","10"
"sport video","888","$80.00","88.00","2","3","7","1","6","5","1","9","9","6","1","2"
"sport vokrug","888","$80.00","88.00","3","2","7","5","3","5","11","1","4","9","9","10"
"sport vivaro","888","$80.00","88.00","6","8","10","9","2","4","7","5","6","10","8","2"
"sport verb","888","$80.00","88.00","6","1","5","1","4","11","11","5","3","10","7","6"
"sport weapon custom","888","$80.00","88.00","11","1","6","8","3","2","4","10","2","11","2","10"
"sport watch","888","$80.00","88.00","5","10","7","3","5","10","3","3","5","10","7","2"
"sport worksheets","888","$80.00","88.00","3","6","9","4","7","8","2","11","1","2","6","6"
"sport wordwall","888","$80.00","88.00","1","1","6","6","6","1","5","5","8","2","7","11"
"sport watch jet sport sw1","888","$80.00","88.00","1","8","5","7","6","5","2","4","4","1","4","1"
"sport x win","888","$80.00","88.00","3","6","4","8","5","10","10","2","6","3","9","9"
"sport xyz","888","$80.00","88.00","6","10","2","2","11","10","10","1","4","3","1","3"
"sport x","888","$80.00","88.00","1","5","1","5","3","10","11","6","9","11","6","6"
"sport x5","888","$80.00","88.00","8","4","11","9","10","1","8","9","6","2","4","2"
"sport xabarlari","888","$80.00","88.00","6","4","4","8","1","7","6","10","10","9","10","1"
"sport xl","888","$80.00","88.00","9","8","2","7","8","2","9","9","2","4","5","6"
"sport xabarlari uz","888","$80.00","88.00","10","2","5","5","8","5","10","9","11","2","2","4"
"sport xanut","888","$80.00","88.00","3","7","9","6","6","2","8","6","11","5","8","2"
"sport yangiliklari","888","$80.00","88.00","9","7","3","11","9","2","7","9","5","1","5","5"
"sport yandex","888","$80.00","88.00","7","9","3","8","9","6","11","5","2","10","3","9"
"sport yakutia","888","$80.00","88.00","11","4","3","4","10","9","3","3","5","10","10","8"
"sport yachts","888","$80.00","88.00","9","1","5","4","11","3","7","6","2","11","5","4"
"sport yangiliklari ufc","888","$80.00","88.00","4","8","7","9","4","11","7","6","2","2","2","9"
"sport yangiliklari boks","888","$80.00","88.00","8","5","3","9","1","8","11","5","1","7","1","10"
"sport yerevan","888","$80.00","88.00","3","2","1","2","4","3","5","5","8","3","8","11"
"sport yulduzlari","888","$80.00","88.00","5","2","6","8","9","7","9","5","4","3","3","8"
"sport zone","888","$80.00","88.00","1","10","8","2","3","5","8","2","4","9","2","1"
"sport zone apk","888","$80.00","88.00","2","10","4","11","9","3","10","8","4","6","3","10"
"sport zania","888","$80.00","88.00","9","8","1","7","1","6","11","1","3","7","5","11"
"sport zone tv","888","$80.00","88.00","8","4","9","6","5","10","7","5","7","5","6","9"
"sport zallari","888","$80.00","88.00","1","10","4","1","3","4","5","7","7","9","6","9"
"sport 003","888","$80.00","88.00","2","8","7","1","7","4","9","8","2","5","4","9"
"sport 007","888","$80.00","88.00","2","4","2","10","9","6","11","8","11","8","4","7"
"sport 005","888","$80.00","88.00","3","3","2","10","5","10","3","5","1","9","5","10"
"sport 007 tv","888","$80.00","88.00","3","10","8","8","7","7","7","2","4","9","11","4"
"sport 07","888","$80.00","88.00","11","4","4","7","2","9","11","3","3","6","11","6"
"sport 050","888","$80.00","88.00","3","8","6","5","6","8","3","11","11","11","8","5"
"sport 018","888","$80.00","88.00","1","2","10","9","7","7","1","4","8","11","4","8"
"sport 01","888","$80.00","88.00","6","8","10","7","2","1","9","3","3","6","6","9"
"sport 1 israel","888","$80.00","88.00","2","11","1","11","9","6","6","1","7","9","1","3"
"sport 1 baltic","888","$80.00","88.00","3","11","4","1","10","2","5","10","5","10","1","2"
"sport 164","888","$80.00","88.00","10","10","1","2","8","6","7","2","1","7","5","6"
"sport 1","888","$80.00","88.00","1","6","9","5","1","9","3","7","3","11","8","3"
"sport 1 israel tv guide","888","$80.00","88.00","8","5","6","6","11","7","8","9","6","9","1","1"
"sport 1 tv","888","$80.00","88.00","7","8","6","10","4","3","9","4","8","10","9","1"
"sport 1 hd","888","$80.00","88.00","9","10","11","9","3","4","11","6","4","10","6","1"
"sport 24","888","$80.00","88.00","4","9","11","6","7","9","11","5","10","11","6","5"
"sport 24 live","888","$80.00","88.00","2","10","11","9","10","10","11","6","10","10","2","2"
"sport 24 tv","888","$80.00","88.00","10","11","2","10","8","11","5","5","8","5","1","11"
"sport 24  1","888","$80.00","88.00","5","6","9","5","7","1","4","6","4","5","2","8"
"sport 2000","888","$80.00","88.00","1","7","2","1","10","2","2","6","11","1","4","4"
"sport 24 f1","888","$80.00","88.00","1","11","4","3","10","7","5","3","6","6","9","6"
"sport 2022","888","$80.00","88.00","6","1","11","10","2","10","3","1","5","5","11","6"
"sport 247","888","$80.00","88.00","3","2","1","5","7","4","2","3","2","2","5","2"
"sport 365","888","$80.00","88.00","4","10","2","6","5","7","10","9","8","2","11","9"
"sport 3 ps2","888","$80.00","88.00","10","7","5","7","1","6","2","8","4","9","5","9"
"sport 3 cordiant","888","$80.00","88.00","11","7","4","5","9","3","3","6","11","4","1","6"
"sport 306m","888","$80.00","88.00","8","2","6","8","1","8","2","7","6","11","1","6"
"sport 365 football","888","$80.00","88.00","2","6","8","2","6","8","9","6","10","8","11","2"
"sport 365 live","888","$80.00","88.00","2","11","5","5","10","6","8","7","1","6","10","4"
"sport 360","888","$80.00","88.00","3","6","3","10","5","7","8","8","2","11","8","7"
"sport 306","888","$80.00","88.00","11","7","5","9","8","4","4","8","11","10","11","7"
"sport 4x4","888","$80.00","88.00","7","8","3","10","9","8","3","9","7","10","2","9"
"sport 46","888","$80.00","88.00","8","6","2","2","7","9","5","2","4","5","8","6"
"sport 4 you","888","$80.00","88.00","8","7","2","5","4","2","10","1","2","9","5","2"
"sport 42","888","$80.00","88.00","6","2","8","11","8","3","9","6","2","3","9","3"
"sport 4 life","888","$80.00","88.00","3","3","11","11","2","9","9","5","6","5","10","5"
"sport 4u","888","$80.00","88.00","4","9","6","11","10","10","7","11","6","6","2","10"
"sport 4 israel","888","$80.00","88.00","8","1","3","4","6","10","4","1","1","5","5","9"
"sport 4k","888","$80.00","88.00","2","11","7","8","7","8","10","11","6","1","6","10"
"sport 5 plus","888","$80.00","88.00","1","7","1","4","1","8","1","3","2","4","11","1"
"sport 51","888","$80.00","88.00","11","5","10","4","10","2","8","10","11","1","3","6"
"sport 5 grade","888","$80.00","88.00","11","2","2","11","6","5","10","2","11","3","3","2"
"sport 5 israel tv guide","888","$80.00","88.00","3","7","11","10","5","2","4","2","11","9","8","9"
"sport 5 grade lesson plan","888","$80.00","88.00","8","1","9","8","2","11","9","8","2","3","2","9"
"sport 5","888","$80.00","88.00","7","6","2","5","6","4","8","2","11","2","2","5"
"sport 59","888","$80.00","88.00","1","9","7","6","1","3","5","7","8","10","10","3"
"sport 6","888","$80.00","88.00","9","6","4","4","5","2","2","1","9","8","8","5"
"sport 61","888","$80.00","88.00","3","6","1","10","6","1","1","6","5","8","2","2"
"sport 69","888","$80.00","88.00","9","7","1","5","5","11","5","3","6","4","7","5"
"sport 6 letters","888","$80.00","88.00","9","2","6","2","6","4","8","5","7","2","9","7"
"sport 6.0 zara","888","$80.00","88.00","9","6","11","7","7","4","6","6","3","9","7","4"
"sport 63","888","$80.00","88.00","6","4","2","5","9","9","1","3","7","4","7","7"
"sport 65","888","$80.00","88.00","2","3","7","7","5","3","8","7","11","3","9","8"
"sport 60","888","$80.00","88.00","7","11","8","4","6","4","7","1","8","3","5","3"
"sport 708","888","$80.00","88.00","6","10","7","8","2","10","10","8","2","7","2","9"
"sport 704","888","$80.00","88.00","10","1","9","2","4","11","2","1","3","2","5","7"
"sport 705","888","$80.00","88.00","2","6","1","8","2","11","3","11","10","1","11","8"
"sport 78","888","$80.00","88.00","5","1","8","4","7","4","8","2","3","8","9","5"
"sport 7","888","$80.00","88.00","8","9","7","10","9","7","5","2","4","11","11","2"
"sport 7 form","888","$80.00","88.00","6","1","8","3","6","9","3","3","2","7","1","11"
"sport 777","888","$80.00","88.00","7","9","6","10","11","7","10","9","6","11","7","6"
"sport 85","888","$80.00","88.00","8","8","6","4","11","9","11","9","7","5","7","7"
"sport 888","888","$80.00","88.00","6","8","3","10","2","6","2","1","5","8","3","7"
"sport 890","888","$80.00","88.00","4","5","4","5","11","3","4","1","8","3","11","8"
"sport 80","888","$80.00","88.00","3","2","10","8","2","1","11","7","9","6","9","7"
"sport 800 toyota","888","$80.00","88.00","7","2","11","4","3","3","3","1","4","8","3","2"
"sport 88","888","$80.00","88.00","10","9","9","10","8","9","9","11","3","7","7","4"
"sport 85 pomezia","888","$80.00","88.00","6","11","8","11","8","9","1","6","4","8","5","1"
"sport 85 latina","888","$80.00","88.00","7","5","6","1","3","9","2","7","8","10","6","7"
"sport 96","888","$80.00","88.00","3","5","9","3","7","2","2","4","5","7","7","10"
"sport 90","888","$80.00","88.00","5","7","7","7","10","11","5","6","11","7","2","9"
"sport 95","888","$80.00","88.00","1","9","1","2","3","2","3","5","8","5","8","10"
"sport 9.0 zara","888","$80.00","88.00","1","2","2","7","3","4","9","10","2","7","5","2"
"sport 99","888","$80.00","88.00","8","2","4","10","7","8","1","10","6","5","1","7"
"sport 98","888","$80.00","88.00","3","10","1","9","1","11","10","11","4","3","7","1"
"sport 97","888","$80.00","88.00","3","6","1","7","7","8","8","11","1","8","6","7"
"sport 95 live","888","$80.00","88.00","8","10","6","4","1","3","4","5","1","7","3","11"
"sport about essay","888","$80.00","88.00","8","3","7","6","7","8","3","11","10","3","1","11"
"sport about you","888","$80.00","88.00","1","3","6","10","8","7","9","10","11","8","6","5"
"sport about equipment","888","$80.00","88.00","9","11","8","1","9","2","7","11","2","3","5","2"
"sport about graphics","888","$80.00","88.00","8","5","4","7","11","2","1","3","2","4","1","11"
"sport about vista","888","$80.00","88.00","1","6","5","6","11","4","9","7","8","7","8","5"
"sport about running","888","$80.00","88.00","11","3","4","7","8","7","2","3","9","7","9","2"
"sport about apparel","888","$80.00","88.00","6","1","3","6","8","5","2","10","11","9","1","5"
"sport about napa","888","$80.00","88.00","4","5","9","5","6","1","9","2","4","9","3","7"
"sport after covid","888","$80.00","88.00","5","2","8","8","3","6","1","4","5","6","11","8"
"sport after vaccine","888","$80.00","88.00","6","1","2","8","11","11","3","1","1","8","9","1"
"sport after food","888","$80.00","88.00","10","10","6","5","4","7","1","5","9","7","5","2"
"sport after stroke","888","$80.00","88.00","4","10","11","11","2","8","7","11","4","8","2","10"
"sport after cesarean section","888","$80.00","88.00","2","9","7","7","6","1","1","6","11","4","2","8"
"sport after facelift","888","$80.00","88.00","4","11","4","1","3","4","10","11","1","8","3","11"
"sport after covid vaccine","888","$80.00","88.00","3","11","11","6","3","2","1","4","3","2","7","2"
"sport after concussion","888","$80.00","88.00","4","8","9","11","11","3","4","7","1","2","10","5"
"sport against stress","888","$80.00","88.00","2","10","4","8","3","8","9","7","9","3","8","3"
"sport against war","888","$80.00","88.00","9","9","10","3","9","3","4","8","5","11","5","2"
"sport against poverty","888","$80.00","88.00","9","2","2","9","5","6","5","4","4","7","3","3"
"sport against violence","888","$80.00","88.00","11","9","3","9","7","11","5","8","11","11","11","10"
"sport against drugs","888","$80.00","88.00","2","7","5","8","10","2","2","1","4","3","11","9"
"sport against depression","888","$80.00","88.00","1","1","7","6","9","6","5","7","10","8","10","5"
"sport against anxiety","888","$80.00","88.00","8","1","4","3","10","1","8","6","10","2","3","1"
"sport against covid","888","$80.00","88.00","6","1","7","8","4","10","2","5","11","10","5","2"
"most popular sport among africanamericans","888","$80.00","88.00","1","5","2","10","2","1","5","10","3","4","10","4"
"most popular sport among american youth","888","$80.00","88.00","1","6","8","6","4","6","10","5","7","5","1","8"
"popular sport among rivers","888","$80.00","88.00","7","5","6","7","2","5","4","1","1","4","8","9"
"sport participation among students","888","$80.00","88.00","9","7","10","10","7","4","5","8","11","2","1","3"
"popular sport among youth","888","$80.00","88.00","7","4","10","10","3","1","11","9","10","4","3","5"
"aci game sport among us","888","$80.00","88.00","1","7","11","7","8","8","10","8","6","7","6","8"
"most popular sport among youth","888","$80.00","88.00","1","6","3","1","2","1","8","3","6","11","1","4"
"sport promoting understanding among nations","888","$80.00","88.00","3","7","10","10","9","10","9","8","11","10","10","4"
"sport and health","888","$80.00","88.00","6","7","3","1","4","5","10","9","7","8","5","1"
"sport and healthy lifestyle","888","$80.00","88.00","11","9","5","5","9","3","9","1","1","9","3","1"
"sport and healthy way of life","888","$80.00","88.00","4","4","10","2","4","1","4","7","11","7","1","10"
"sport and politics","888","$80.00","88.00","7","2","2","7","5","11","4","9","7","1","4","10"
"sport and fun","888","$80.00","88.00","2","7","6","5","4","10","9","6","2","4","10","8"
"sport area room","888","$80.00","88.00","8","8","9","8","9","2","4","8","10","6","8","5"
"sport arena tv live","888","$80.00","88.00","11","8","3","1","6","8","2","6","6","9","6","3"
"sport area","888","$80.00","88.00","10","11","10","7","9","6","5","5","8","1","6","11"
"sport arena mylenice","888","$80.00","88.00","10","3","7","2","7","2","11","1","10","11","3","5"
"sport around the world","888","$80.00","88.00","9","9","2","6","9","5","8","9","11","10","7","4"
"sport around me","888","$80.00","88.00","4","10","10","10","11","3","7","5","8","10","1","2"
"sport around the world today","888","$80.00","88.00","8","3","8","8","11","8","8","7","9","7","10","7"
"sport around the word","888","$80.00","88.00","9","3","5","10","5","1","8","10","11","2","8","8"
"sport around meaning","888","$80.00","88.00","5","4","7","2","3","8","11","6","3","2","8","11"
"sport around gent","888","$80.00","88.00","5","9","6","6","2","5","7","1","4","8","9","10"
"sport around the world quiz","888","$80.00","88.00","9","11","6","9","8","6","7","9","7","11","9","7"
"sport around here","888","$80.00","88.00","9","11","3","4","7","3","3","11","9","11","3","1"
"sport athletics","888","$80.00","88.00","8","9","4","3","6","10","2","7","6","9","5","2"
"sport at school","888","$80.00","88.00","10","3","3","7","9","2","1","2","2","11","8","3"
